Mean Young's Modulus Hertz [Pa] # 617 
Max indentation (Hertz Fit)[nm] # 300.0 
Tip radius [nm] # 3000.0 
Elastic constant [N/m] #0.022
Avg Indentation [nm] 	 Avg Force [nN] 	 Error Force [nN] 
411.95995233199426	0.4869997455233225	0.19136980973814308
415.95956351968357	0.49547398569612466	0.19556102860287586
419.9591747073728	0.5053518632159855	0.1983217522737123
423.9587858950621	0.5153194168160538	0.19928523796937608
427.95839708275133	0.5233532429735869	0.19941157503255977
431.9580082704406	0.5298663040169023	0.1984694396146681
435.95761945812984	0.5366285239808657	0.19669241057766404
439.95723064581915	0.5434427873444551	0.19833549017223673
443.9568418335084	0.5480900826720858	0.20166121260489722
447.95645302119766	0.5530372224159803	0.20425623194903228
451.9560642088869	0.5584824584361368	0.2067293732265649
455.95567539657617	0.5619353155904722	0.2096328922602179
459.9552865842655	0.5657381942883027	0.21299237410423053
463.95489777195473	0.5714986095822692	0.21539692032625204
467.954508959644	0.5806256344137123	0.21699981480306907
471.95412014733324	0.5905009395907292	0.2182456764385402
